key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ground_truth,image,category,distance_x,distance_y,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,n,0.795,1,0,48,36,1,47,aud,n,blank.png,nonse_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.644,1,0,48,37,1,47,area,w,EmjAp68.png,low_high,0.195,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.56,1,0,48,38,1,47,jeans,w,EmjAp22.png,med_med,0.2,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.744,1,0,48,39,1,47,mea,n,blank.png,nonse_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.861,1,0,48,40,1,47,flart,n,EmjAp34.png,nonse_low,0.18,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.694,1,0,48,41,1,47,cable,w,EmjAp34.png,med_low,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.895,1,0,48,42,1,47,grage,n,EmjAp68.png,nonse_high,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,1.127,1,0,48,43,1,47,dums,n,EmjAp68.png,nonse_high,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.911,1,0,48,44,1,47,sparket,n,EmjAp68.png,nonse_high,0.24,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.61,1,0,48,45,1,47,reply,w,blank.png,med_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.677,1,0,48,46,1,47,lack,w,EmjAp34.png,low_low,0.18,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.862,1,0,48,47,1,47,swork,n,EmjAp22.png,nonse_mid,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
