,word,a_mean,v_mean,freq1,pos1,freq2,pos2,letter_count
1394,boundary,4.17,4.75,4416.0,n,44,NoC,8
1402,bow,3.85,5.46,1359.0,v,14,NoC,3
1403,bowel,3.57,3.21,1441.0,n,15,NoC,5
1405,bowl,3.21,5.67,1020.0,v,30,NoC,4
1406,bowler,3.64,5.18,997.0,n,10,NoC,6
1408,box,2.67,5.33,11292.0,n,114,NoC,3
1412,boxing,5.73,4.47,902.0,n,12,NoC,6
1413,boy,4.11,5.84,21205.0,n,213,NoC,3
1415,boyfriend,4.9,7.06,1285.0,n,13,NoC,9
1423,bracket,3.15,4.63,1017.0,n,10,NoC,7
1426,brain,3.35,6.22,5586.0,n,57,NoC,5
1431,brake,3.82,4.9,974.0,n,11,NoC,5
1433,branch,2.67,5.15,8456.0,n,85,NoC,6
1434,brand,2.82,5.05,1819.0,n,21,NoC,5
1437,brass,4.0,5.05,1433.0,n,16,NoC,5
1448,breach,3.46,3.67,3407.0,n,35,NoC,6
1449,bread,3.85,6.52,3780.0,n,38,NoC,5
1451,break,4.71,5.1,19512.0,v,43,NoC,5
1453,breakdown,4.73,3.48,1591.0,n,16,NoC,9
1455,breakfast,5.0,7.39,4314.0,n,45,NoC,9
1459,breast,5.39,6.64,2648.0,n,29,NoC,6
1460,breath,2.35,6.61,5347.0,n,53,NoC,6
1466,breed,4.1,5.74,1974.0,v,19,NoC,5
1468,breeding,3.95,5.62,1403.0,n,19,NoC,8
1469,breeze,3.2,7.61,1455.0,n,15,NoC,6
1473,brewery,4.75,5.74,1012.0,n,10,NoC,7
1478,brick,2.53,4.65,2675.0,n,28,NoC,5
1480,bride,4.5,6.8,1111.0,n,12,NoC,5
1483,bridge,3.48,5.44,5367.0,n,66,NoC,6
1488,brigade,4.44,4.43,1245.0,n,13,NoC,7
1504,broadcast,4.41,4.89,1116.0,v,12,NoC,9
1510,brochure,3.43,4.74,1176.0,n,13,NoC,8
1513,broker,3.77,4.15,1100.0,n,11,NoC,6
1517,bronze,3.62,5.81,1209.0,n,17,NoC,6
1526,brother,4.48,6.18,11757.0,n,123,NoC,7
1529,brow,3.23,5.11,1194.0,n,12,NoC,4
1538,brush,3.18,5.47,2115.0,v,17,NoC,5
1548,bucket,2.96,4.55,1401.0,n,14,NoC,6
1556,budget,3.33,4.56,9311.0,n,94,NoC,6
1568,builder,3.32,5.95,1795.0,n,19,NoC,7
1569,building,3.35,5.47,20770.0,n,229,NoC,8
1571,bulb,3.26,5.86,1030.0,n,10,NoC,4
1574,bulk,3.43,4.89,2056.0,n,21,NoC,4
1577,bull,4.9,3.95,1257.0,n,12,NoC,4
1580,bullet,5.89,3.45,1227.0,n,13,NoC,6
1598,bunch,2.81,5.83,1344.0,n,14,NoC,5
1609,burden,3.96,3.05,2988.0,n,30,NoC,6
